dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.603924,3.187762,0.000024,0.004856,0.485641,48.564103,4.749416
0.010000,6.603924,3.187762,0.000121,0.014569,0.971282,48.564103,4.749383
0.010000,6.603924,3.187762,0.000340,0.029138,1.456923,48.564103,4.749308
0.010000,6.603924,3.187762,0.000728,0.048564,1.942564,48.564103,4.749175
0.010000,6.603924,3.187762,0.001336,0.072846,2.428205,48.564103,4.748966
0.010000,6.603924,3.187762,0.002210,0.101985,2.913846,48.564103,4.748666
0.010000,6.603924,3.187762,0.003399,0.135979,3.399487,48.564103,4.748258
0.010000,6.603924,3.187762,0.004954,0.174831,3.885128,48.564103,4.747723
0.010000,6.603987,3.185955,0.006920,0.218538,4.370769,48.564103,4.747046
0.010000,6.604070,3.183553,0.009324,0.262246,4.370769,0.000000,4.746216
0.010000,6.604164,3.180713,0.012165,0.305954,4.370769,-0.000000,4.745233
0.010000,6.604270,3.177438,0.015443,0.349662,4.370769,0.000000,4.744096
0.010000,6.604386,3.173724,0.019159,0.393369,4.370769,-0.000000,4.742801
0.010000,6.604509,3.169573,0.023311,0.437077,4.370769,0.000000,4.741348
0.010000,6.604638,3.164985,0.027900,0.480785,4.370769,0.000000,4.739735
0.010000,6.604771,3.159961,0.032926,0.524492,4.370769,0.000000,4.737959
0.010000,6.604905,3.154499,0.038390,0.568200,4.370769,-0.000000,4.736018
0.010000,6.605039,3.148600,0.044290,0.611908,4.370769,0.000000,4.733909
0.010000,6.605168,3.142265,0.050628,0.655615,4.370769,0.000000,4.731629
0.010000,6.605290,3.135490,0.057403,0.699323,4.370769,0.000000,4.729174
0.010000,6.605401,3.128280,0.064615,0.743031,4.370769,-0.000000,4.726542
0.010000,6.605499,3.120631,0.072263,0.786738,4.370769,0.000000,4.723727
0.010000,6.605578,3.112547,0.080349,0.830446,4.370769,0.000000,4.720728
0.010000,6.605636,3.104023,0.088872,0.874154,4.370769,-0.000000,4.717536
0.010000,6.605667,3.095063,0.097832,0.917862,4.370769,0.000000,4.714150
0.010000,6.605667,3.085666,0.107230,0.961569,4.370769,0.000000,4.710564
0.010000,6.605630,3.075831,0.117064,1.005277,4.370769,-0.000000,4.706771
0.010000,6.605552,3.065560,0.127335,1.048985,4.370769,0.000000,4.702766
0.010000,6.605426,3.054853,0.138043,1.092692,4.370769,-0.000000,4.698544
0.010000,6.605247,3.043710,0.149189,1.136400,4.370769,0.000000,4.694097
0.010000,6.605008,3.032129,0.160771,1.180108,4.370769,0.000000,4.689417
0.010000,6.604703,3.020114,0.172791,1.223815,4.370769,-0.000000,4.684499
0.010000,6.604323,3.007662,0.185248,1.267523,4.370769,0.000000,4.679333
0.010000,6.603862,2.994777,0.198142,1.311231,4.370769,-0.000000,4.673911
0.010000,6.603312,2.981457,0.211472,1.354938,4.370769,0.000000,4.668224
0.010000,6.602663,2.967705,0.225240,1.398646,4.370769,-0.000000,4.662263
0.010000,6.601907,2.953520,0.239445,1.442354,4.370769,0.000000,4.656018
0.010000,6.601034,2.938904,0.254087,1.486062,4.370769,0.000000,4.649478
0.010000,6.600035,2.923858,0.269167,1.529769,4.370769,0.000000,4.642632
0.010000,6.598898,2.908384,0.284683,1.573477,4.370769,0.000000,4.635468
0.010000,6.597613,2.892483,0.300636,1.617185,4.370769,-0.000000,4.627974
0.010000,6.596167,2.876156,0.317026,1.660892,4.370769,0.000000,4.620137
0.010000,6.594548,2.859406,0.333854,1.704600,4.370769,-0.000000,4.611943
0.010000,6.592744,2.842237,0.351118,1.748308,4.370769,0.000000,4.603377
0.010000,6.590740,2.824649,0.368820,1.792015,4.370769,0.000000,4.594426
0.010000,6.588521,2.806646,0.386959,1.835723,4.370769,-0.000000,4.585073
0.010000,6.586073,2.788233,0.405535,1.879431,4.370769,0.000000,4.575302
0.010000,6.583379,2.769412,0.424547,1.923138,4.370769,-0.000000,4.565095
0.010000,6.580422,2.750189,0.443997,1.966846,4.370769,0.000000,4.554436
0.010000,6.577185,2.730567,0.463884,2.010554,4.370769,-0.000000,4.543306
0.010000,6.573649,2.710553,0.484208,2.054262,4.370769,0.000000,4.531687
0.010000,6.569795,2.690153,0.504970,2.097969,4.370769,-0.000000,4.519559
0.010000,6.565601,2.669374,0.526168,2.141677,4.370769,0.000000,4.506903
0.010000,6.561047,2.648223,0.547803,2.185385,4.370769,0.000000,4.493699
0.010000,6.556111,2.626710,0.569875,2.229092,4.370769,0.000000,4.479928
0.010000,6.550769,2.604844,0.592385,2.272800,4.370769,-0.000000,4.465570
0.010000,6.544997,2.582636,0.615331,2.316508,4.370769,0.000000,4.450605
0.010000,6.538770,2.560097,0.638715,2.360215,4.370769,0.000000,4.435016
0.010000,6.532062,2.537240,0.662536,2.403923,4.370769,-0.000000,4.418784
0.010000,6.524847,2.514080,0.686794,2.447631,4.370769,0.000000,4.401893
0.010000,6.517096,2.490633,0.711488,2.491338,4.370769,-0.000000,4.384329
0.010000,6.508783,2.466917,0.736620,2.535046,4.370769,0.000000,4.366079
0.010000,6.499877,2.442949,0.762189,2.578754,4.370769,-0.000000,4.347133
0.010000,6.490351,2.418751,0.788195,2.622462,4.370769,0.000000,4.327485
0.010000,6.480175,2.394346,0.814639,2.666169,4.370769,-0.000000,4.307133
0.010000,6.469318,2.369756,0.841519,2.709877,4.370769,0.000000,4.286078
0.010000,6.457753,2.345008,0.868836,2.753585,4.370769,-0.000000,4.264328
0.010000,6.445451,2.320130,0.896590,2.797292,4.370769,0.000000,4.241897
0.010000,6.432383,2.295151,0.924782,2.841000,4.370769,-0.000000,4.218804
0.010000,6.418522,2.270102,0.953410,2.884708,4.370769,0.000000,4.195076
0.010000,6.403842,2.245017,0.982476,2.928415,4.370769,0.000000,4.170747
0.010000,6.388319,2.219929,1.011979,2.972123,4.370769,-0.000000,4.145860
0.010000,6.371932,2.194874,1.041919,3.015831,4.370769,0.000000,4.120465
0.010000,6.354659,2.169886,1.072295,3.059538,4.370769,-0.000000,4.094620
0.010000,6.336484,2.145005,1.103109,3.103246,4.370769,0.000000,4.068391
0.010000,6.317391,2.120265,1.134360,3.146954,4.370769,0.000000,4.041850
0.010000,6.297369,2.095705,1.166048,3.190662,4.370769,-0.000000,4.015077
0.010000,6.276410,2.071360,1.198174,3.234369,4.370769,-0.000000,3.988156
0.010000,6.254526,2.047283,1.230711,3.273221,3.885128,-48.564103,3.961194
0.010000,6.231748,2.023541,1.263614,3.307215,3.399487,-48.564103,3.934321
0.010000,6.208119,2.000196,1.296832,3.336354,2.913846,-48.564103,3.907664
0.010000,6.183684,1.977302,1.330316,3.360636,2.428205,-48.564103,3.881344
0.010000,6.158498,1.954908,1.364020,3.380062,1.942564,-48.564103,3.855475
0.010000,6.132616,1.933057,1.397893,3.394631,1.456923,-48.564103,3.830164
0.010000,6.106102,1.911783,1.431888,3.404344,0.971282,-48.564103,3.805504
0.010000,6.079020,1.891115,1.465956,3.409200,0.485641,-48.564103,3.781577
0.010000,6.051441,1.871075,1.500048,3.409200,0.000000,-48.564103,3.758454
0.010000,6.023413,1.851667,1.534140,3.409200,0.000000,0.000000,3.736177
0.010000,5.994968,1.832876,1.568232,3.409200,0.000000,0.000000,3.714761
0.010000,5.966136,1.814686,1.602324,3.409200,0.000000,0.000000,3.694218
0.010000,5.936943,1.797079,1.636416,3.409200,0.000000,0.000000,3.674550
0.010000,5.907417,1.780036,1.670508,3.409200,0.000000,0.000000,3.655757
0.010000,5.877583,1.763539,1.704600,3.409200,0.000000,0.000000,3.637832
0.010000,5.847465,1.747565,1.738692,3.409200,0.000000,0.000000,3.620766
0.010000,5.817085,1.732096,1.772784,3.409200,0.000000,0.000000,3.604545
0.010000,5.786465,1.717108,1.806876,3.409200,0.000000,0.000000,3.589155
0.010000,5.755623,1.702581,1.840968,3.409200,0.000000,0.000000,3.574578
0.010000,5.724579,1.688492,1.875060,3.409200,0.000000,0.000000,3.560796
0.010000,5.693349,1.674820,1.909152,3.409200,0.000000,0.000000,3.547789
0.010000,5.661948,1.661544,1.943244,3.409200,0.000000,0.000000,3.535538
0.010000,5.630392,1.648642,1.977336,3.409200,0.000000,0.000000,3.524023
0.010000,5.598694,1.636092,2.011428,3.409200,0.000000,0.000000,3.513223
0.010000,5.566867,1.623875,2.045520,3.409200,0.000000,0.000000,3.503119
0.010000,5.534921,1.611969,2.079612,3.409200,0.000000,0.000000,3.493692
0.010000,5.502869,1.600354,2.113704,3.409200,0.000000,0.000000,3.484924
0.010000,5.470720,1.589010,2.147796,3.409200,0.000000,0.000000,3.476797
0.010000,5.438483,1.577917,2.181888,3.409200,0.000000,0.000000,3.469294
0.010000,5.406167,1.567057,2.215980,3.409200,0.000000,0.000000,3.462400
0.010000,5.373780,1.556410,2.250072,3.409200,0.000000,0.000000,3.456101
0.010000,5.341330,1.545958,2.284164,3.409200,0.000000,0.000000,3.450383
0.010000,5.308823,1.535683,2.318256,3.409200,0.000000,0.000000,3.445233
0.010000,5.276267,1.525565,2.352348,3.409200,0.000000,0.000000,3.440640
0.010000,5.243668,1.515589,2.386440,3.409200,0.000000,0.000000,3.436595
0.010000,5.211031,1.505736,2.420532,3.409200,0.000000,0.000000,3.433087
0.010000,5.178362,1.495988,2.454624,3.409200,0.000000,0.000000,3.430110
0.010000,5.145667,1.486329,2.488716,3.409200,0.000000,0.000000,3.427657
0.010000,5.112950,1.476743,2.522808,3.409200,0.000000,0.000000,3.425722
0.010000,5.080218,1.467210,2.556900,3.409200,0.000000,0.000000,3.424300
0.010000,5.047475,1.457717,2.590992,3.409200,0.000000,0.000000,3.423389
0.010000,5.014725,1.448244,2.625084,3.409200,0.000000,0.000000,3.422987
0.010000,4.981974,1.438777,2.659176,3.409200,0.000000,0.000000,3.423092
0.010000,4.949226,1.429297,2.693268,3.409200,0.000000,0.000000,3.423706
0.010000,4.916487,1.419790,2.727360,3.409200,0.000000,0.000000,3.424828
0.010000,4.883761,1.410237,2.761452,3.409200,0.000000,0.000000,3.426462
0.010000,4.851052,1.400622,2.795544,3.409200,0.000000,0.000000,3.428612
0.010000,4.818368,1.390929,2.829636,3.409200,0.000000,0.000000,3.431282
0.010000,4.785711,1.381139,2.863728,3.409200,0.000000,0.000000,3.434479
0.010000,4.753089,1.371237,2.897820,3.409200,0.000000,0.000000,3.438209
0.010000,4.720507,1.361204,2.931912,3.409200,0.000000,0.000000,3.442480
0.010000,4.687970,1.351023,2.966004,3.409200,0.000000,0.000000,3.447303
0.010000,4.655486,1.340677,3.000096,3.409200,0.000000,0.000000,3.452687
0.010000,4.623062,1.330146,3.034188,3.409200,0.000000,0.000000,3.458645
0.010000,4.590703,1.319413,3.068280,3.409200,0.000000,0.000000,3.465189
0.010000,4.558419,1.308459,3.102372,3.409200,0.000000,0.000000,3.472334
0.010000,4.526217,1.297264,3.136464,3.409200,0.000000,0.000000,3.480094
0.010000,4.494107,1.285810,3.170556,3.409200,0.000000,0.000000,3.488485
0.010000,4.462098,1.274077,3.204648,3.409200,0.000000,0.000000,3.497524
0.010000,4.430201,1.262044,3.238740,3.409200,0.000000,0.000000,3.507230
0.010000,4.398425,1.249691,3.272832,3.409200,0.000000,0.000000,3.517621
0.010000,4.366785,1.236998,3.306924,3.409200,0.000000,0.000000,3.528716
0.010000,4.335292,1.223943,3.341016,3.409200,0.000000,0.000000,3.540534
0.010000,4.303960,1.210505,3.375108,3.409200,0.000000,0.000000,3.553096
0.010000,4.272805,1.196663,3.409200,3.409200,0.000000,0.000000,3.566423
0.010000,4.241842,1.182395,3.443292,3.409200,0.000000,0.000000,3.580532
0.010000,4.211090,1.167679,3.477384,3.409200,0.000000,0.000000,3.595445
0.010000,4.184359,1.154442,3.511476,3.409200,0.000000,0.000000,3.603142
0.010000,4.153775,1.139378,3.545568,3.409200,0.000000,0.000000,3.595349
0.010000,4.123075,1.124554,3.579660,3.409200,0.000000,0.000000,3.587560
0.010000,4.092261,1.109969,3.613752,3.409200,0.000000,0.000000,3.579777
0.010000,4.061333,1.095624,3.647844,3.409200,0.000000,0.000000,3.572002
0.010000,4.030296,1.081520,3.681936,3.409200,0.000000,0.000000,3.564238
0.010000,3.999150,1.067657,3.716028,3.409200,0.000000,0.000000,3.556487
0.010000,3.967897,1.054035,3.750120,3.409200,0.000000,0.000000,3.548752
0.010000,3.936541,1.040656,3.784212,3.409200,0.000000,0.000000,3.541035
0.010000,3.905082,1.027518,3.818304,3.409200,0.000000,0.000000,3.533338
0.010000,3.873523,1.014623,3.852396,3.409200,0.000000,0.000000,3.525664
0.010000,3.841866,1.001970,3.886488,3.409200,0.000000,0.000000,3.518015
0.010000,3.810113,0.989559,3.920580,3.409200,0.000000,0.000000,3.510393
0.010000,3.778267,0.977390,3.954672,3.409200,0.000000,0.000000,3.502801
0.010000,3.746330,0.965462,3.988764,3.409200,0.000000,0.000000,3.495241
0.010000,3.714304,0.953776,4.022856,3.409200,0.000000,0.000000,3.487716
