dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.526200,3.184883,0.000024,0.004856,0.485641,48.564103,4.749416
0.010000,6.526200,3.184886,0.000027,0.000259,-0.459736,-94.537750,4.749383
0.010000,6.526199,3.184892,0.000033,0.000583,0.032386,49.212284,4.749308
0.010000,6.526199,3.184902,0.000043,0.001036,0.045357,1.297041,4.749175
0.010000,6.526198,3.184918,0.000059,0.001620,0.058352,1.299476,4.748966
0.010000,6.526197,3.184942,0.000083,0.002334,0.071386,1.303464,4.748666
0.010000,6.526196,3.184973,0.000114,0.003179,0.084480,1.309397,4.748258
0.010000,6.526195,3.185015,0.000156,0.004155,0.097657,1.317669,4.747723
0.010000,6.526256,3.183260,0.001912,0.175580,17.142444,1704.478691,4.747046
0.010000,6.526336,3.180923,0.004251,0.233894,5.831384,-1131.105984,4.746216
0.010000,6.526428,3.178159,0.007016,0.276504,4.261098,-157.028635,4.745233
0.010000,6.526531,3.174972,0.010204,0.318839,4.233430,-2.766759,4.744096
0.010000,6.526644,3.171359,0.013819,0.361536,4.269719,3.628921,4.742801
0.010000,6.526764,3.167321,0.017859,0.403956,4.242011,-2.770824,4.741348
0.010000,6.526889,3.162859,0.022323,0.446386,4.242970,0.095939,4.739735
0.010000,6.527019,3.157972,0.027211,0.488825,4.243948,0.097727,4.737959
0.010000,6.527149,3.152661,0.032524,0.531247,4.242147,-0.180073,4.736018
0.010000,6.527279,3.146927,0.038260,0.573622,4.237543,-0.460423,4.733909
0.010000,6.527404,3.140769,0.044419,0.615923,4.230113,-0.742949,4.731629
0.010000,6.527523,3.134185,0.051004,0.658496,4.257302,2.718857,4.729174
0.010000,6.527631,3.127179,0.058011,0.700668,4.217203,-4.009898,4.726542
0.010000,6.527726,3.119749,0.065441,0.743025,4.235646,1.844343,4.723727
0.010000,6.527803,3.111898,0.073293,0.785157,4.213185,-2.246123,4.720728
0.010000,6.527859,3.103623,0.081568,0.827576,4.241965,2.878040,4.717536
0.010000,6.527889,3.094926,0.090265,0.869688,4.211210,-3.075531,4.714150
0.010000,6.527889,3.085808,0.099383,0.911815,4.212688,0.147790,4.710564
0.010000,6.527853,3.076268,0.108923,0.953924,4.210891,-0.179739,4.706771
0.010000,6.527777,3.066309,0.118882,0.995982,4.205765,-0.512520,4.702766
0.010000,6.527656,3.055930,0.129262,1.037954,4.197267,-0.849835,4.698544
0.010000,6.527482,3.045132,0.140061,1.079914,4.195916,-0.135058,4.694097
0.010000,6.527251,3.033915,0.151280,1.121937,4.202327,0.641040,4.689417
0.010000,6.526955,3.022283,0.162916,1.163603,4.166609,-3.571792,4.684499
0.010000,6.526588,3.010233,0.174972,1.205567,4.196417,2.980772,4.679333
0.010000,6.526142,2.997769,0.187444,1.247219,4.165207,-3.120968,4.673911
0.010000,6.525610,2.984891,0.200333,1.288831,4.161224,-0.398247,4.668224
0.010000,6.524983,2.971602,0.213637,1.330418,4.158679,-0.254553,4.662263
0.010000,6.524253,2.957902,0.227356,1.371938,4.151959,-0.671976,4.656018
0.010000,6.523410,2.943794,0.241490,1.413348,4.141016,-1.094277,4.649478
0.010000,6.522446,2.929280,0.256036,1.454606,4.125821,-1.519500,4.642632
0.010000,6.521350,2.914360,0.270995,1.495935,4.132828,0.700621,4.635468
0.010000,6.520112,2.899040,0.286365,1.537004,4.106974,-2.585367,4.627974
0.010000,6.518720,2.883321,0.302146,1.578130,4.112578,0.560425,4.620137
0.010000,6.517163,2.867206,0.318336,1.618997,4.086741,-2.583729,4.611943
0.010000,6.515428,2.850698,0.334935,1.659819,4.082167,-0.457345,4.603377
0.010000,6.513502,2.833802,0.351940,1.700543,4.072376,-0.979126,4.594426
0.010000,6.511373,2.816522,0.369351,1.741117,4.057390,-1.498600,4.585073
0.010000,6.509025,2.798862,0.387166,1.781490,4.037282,-2.010866,4.575302
0.010000,6.506443,2.780827,0.405386,1.821969,4.047973,1.069191,4.565095
0.010000,6.503612,2.762423,0.424006,1.862008,4.003913,-4.406031,4.554436
0.010000,6.500516,2.743655,0.443027,1.902133,4.012497,0.858347,4.543306
0.010000,6.497138,2.724531,0.462448,1.942035,3.990192,-2.230463,4.531687
0.010000,6.493458,2.705058,0.482265,1.981743,3.970728,-1.946395,4.519559
0.010000,6.489460,2.685244,0.502479,2.021403,3.966001,-0.472718,4.506903
0.010000,6.485122,2.665097,0.523087,2.060846,3.944362,-2.163889,4.493699
0.010000,6.480425,2.644628,0.544088,2.100084,3.923769,-2.059258,4.479928
0.010000,6.475348,2.623847,0.565480,2.139204,3.912025,-1.174478,4.465570
0.010000,6.469869,2.602765,0.587263,2.178259,3.905490,-0.653415,4.450605
0.010000,6.463965,2.581395,0.609434,2.217067,3.880829,-2.466188,4.435016
0.010000,6.457613,2.559749,0.631992,2.255853,3.878561,-0.226743,4.418784
0.010000,6.450788,2.537844,0.654936,2.294355,3.850230,-2.833141,4.401893
0.010000,6.443467,2.515694,0.678264,2.332865,3.850935,0.070507,4.384329
0.010000,6.435623,2.493317,0.701976,2.371201,3.833608,-1.732685,4.366079
0.010000,6.427230,2.470731,0.726071,2.409506,3.830509,-0.309880,4.347133
0.010000,6.418264,2.447955,0.750549,2.447743,3.823742,-0.676741,4.327485
0.010000,6.408697,2.425010,0.775408,2.485940,3.819682,-0.405920,4.307133
0.010000,6.398502,2.401918,0.800651,2.524233,3.829300,0.961723,4.286078
0.010000,6.387653,2.378703,0.826276,2.562522,3.828937,-0.036304,4.264328
0.010000,6.376124,2.355388,0.852285,2.600909,3.838642,0.970555,4.241897
0.010000,6.363888,2.332001,0.878679,2.639437,3.852838,1.419579,4.218804
0.010000,6.350921,2.308567,0.905462,2.678271,3.883423,3.058449,4.195076
0.010000,6.337197,2.285115,0.932634,2.717247,3.897516,1.409358,4.170747
0.010000,6.322693,2.261673,0.960201,2.756617,3.937009,3.949303,4.145860
0.010000,6.307386,2.238270,0.988165,2.796392,3.977510,4.050073,4.120465
0.010000,6.291257,2.214937,1.016531,2.836600,4.020783,4.327365,4.094620
0.010000,6.274285,2.191703,1.045303,2.877283,4.068311,4.752780,4.068391
0.010000,6.256453,2.168597,1.074489,2.918596,4.131350,6.303865,4.041850
0.010000,6.237747,2.145651,1.104094,2.960478,4.188204,5.685381,4.015077
0.010000,6.218154,2.122893,1.134124,3.003030,4.255135,6.693083,3.988156
0.010000,6.197680,2.100368,1.164564,3.043992,4.096242,-15.889232,3.961194
0.010000,6.176349,2.078134,1.195375,3.081108,3.711614,-38.462869,3.934321
0.010000,6.154195,2.056246,1.226519,3.114357,3.324845,-38.676840,3.907664
0.010000,6.131254,2.034751,1.257956,3.143688,2.933097,-39.174784,3.881344
0.010000,6.107571,2.013695,1.289646,3.169058,2.536998,-39.609930,3.855475
0.010000,6.083193,1.993113,1.321550,3.190391,2.133375,-40.362314,3.830164
0.010000,6.058175,1.973039,1.353626,3.207601,1.720922,-41.245339,3.805504
0.010000,6.032573,1.953501,1.385832,3.220598,1.299704,-42.121706,3.781577
0.010000,6.006448,1.934519,1.418125,3.229284,0.868680,-43.102472,3.758454
0.010000,5.979845,1.916097,1.450484,3.235859,0.657434,-21.124600,3.736177
0.010000,5.952790,1.898224,1.482909,3.242567,0.670857,1.342363,3.714761
0.010000,5.925308,1.880886,1.515403,3.249360,0.679249,0.839136,3.694218
0.010000,5.897425,1.864069,1.547965,3.256184,0.682378,0.312924,3.674550
0.010000,5.869165,1.847758,1.580595,3.262971,0.678759,-0.361933,3.655757
0.010000,5.840551,1.831935,1.613292,3.269742,0.677117,-0.164208,3.637832
0.010000,5.811606,1.816584,1.646056,3.276423,0.668031,-0.908573,3.620766
0.010000,5.782350,1.801686,1.678886,3.283000,0.657694,-1.033652,3.604545
0.010000,5.752805,1.787225,1.711781,3.289471,0.647112,-1.058221,3.589155
0.010000,5.722989,1.773181,1.744739,3.295791,0.632020,-1.509163,3.574578
0.010000,5.692921,1.759535,1.777759,3.301979,0.618836,-1.318494,3.560796
0.010000,5.662617,1.746269,1.810839,3.308022,0.604257,-1.457866,3.547789
0.010000,5.632094,1.733364,1.843978,3.313883,0.586078,-1.817839,3.535538
0.010000,5.601367,1.720801,1.877174,3.319618,0.573537,-1.254188,3.524023
0.010000,5.570450,1.708561,1.910426,3.325194,0.557596,-1.594070,3.513223
0.010000,5.539356,1.696625,1.943732,3.330594,0.539970,-1.762576,3.503119
0.010000,5.508098,1.684975,1.977090,3.335863,0.526963,-1.300674,3.493692
0.010000,5.476687,1.673592,2.010500,3.340992,0.512867,-1.409596,3.484924
0.010000,5.445134,1.662459,2.043960,3.345982,0.499038,-1.382975,3.476797
0.010000,5.413449,1.651556,2.077469,3.350842,0.485974,-1.306356,3.469294
0.010000,5.381641,1.640867,2.111024,3.355579,0.473727,-1.224691,3.462400
0.010000,5.349720,1.630373,2.144626,3.360203,0.462331,-1.139583,3.456101
0.010000,5.317693,1.620057,2.178274,3.364721,0.451809,-1.052268,3.450383
0.010000,5.285568,1.609902,2.211965,3.369142,0.442172,-0.963668,3.445233
0.010000,5.253353,1.599891,2.245700,3.373477,0.433428,-0.874443,3.440640
0.010000,5.221054,1.590007,2.279477,3.377733,0.425577,-0.785036,3.436595
0.010000,5.188678,1.580232,2.313296,3.381919,0.418620,-0.695719,3.433087
0.010000,5.156231,1.570551,2.347157,3.386044,0.412554,-0.606626,3.430110
0.010000,5.123719,1.560947,2.381058,3.390118,0.407376,-0.517789,3.427657
0.010000,5.091147,1.551402,2.414999,3.394149,0.403084,-0.429166,3.425722
0.010000,5.058521,1.541901,2.448981,3.398146,0.399678,-0.340664,3.424300
0.010000,5.025846,1.532427,2.483002,3.402117,0.397156,-0.252162,3.423389
0.010000,4.993126,1.522963,2.517063,3.406072,0.395521,-0.163528,3.422987
0.010000,4.960367,1.513493,2.551163,3.410020,0.394790,-0.073073,3.423092
0.010000,4.927574,1.504001,2.585303,3.413971,0.395082,0.029234,3.423706
