dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.382447,2.736112,0.000200,0.019997,0.999851,49.992572,0.009836
0.020000,1.382435,2.736112,0.000212,0.000599,-0.969890,-98.487094,0.009990
0.020000,1.383168,2.736120,0.000944,0.036610,1.800528,138.520917,0.010297
0.020000,1.385531,2.736145,0.003308,0.118197,4.079366,113.941916,0.010756
0.020000,1.388683,2.736179,0.006460,0.157611,1.970681,-105.434248,0.011364
0.020000,1.392624,2.736226,0.010401,0.197037,1.971316,0.031748,0.012119
0.020000,1.397353,2.736285,0.015131,0.236479,1.972102,0.039287,0.013015
0.020000,1.402871,2.736360,0.020649,0.275940,1.973038,0.046787,0.014048
0.020000,1.409179,2.736452,0.026958,0.315423,1.974141,0.055161,0.015213
0.020000,1.416277,2.736565,0.034056,0.354931,1.975394,0.062649,0.016503
0.020000,1.424165,2.736700,0.041946,0.394467,1.976817,0.071151,0.017910
0.020000,1.432844,2.736862,0.050627,0.434034,1.978354,0.076836,0.019428
0.020000,1.442315,2.737054,0.060099,0.473636,1.980106,0.087606,0.021046
0.020000,1.452578,2.737279,0.070365,0.513275,1.981950,0.092195,0.022755
0.020000,1.463634,2.737541,0.081424,0.552955,1.984003,0.102648,0.024545
0.020000,1.475484,2.737843,0.093277,0.592679,1.986177,0.108706,0.026405
0.020000,1.488128,2.738189,0.105926,0.632449,1.988501,0.116233,0.028322
0.020000,1.501568,2.738583,0.119372,0.672268,1.990976,0.123708,0.030284
0.020000,1.515803,2.739028,0.133615,0.712141,1.993629,0.132663,0.032278
0.020000,1.530836,2.739529,0.148656,0.752069,1.996393,0.138198,0.034288
0.020000,1.546668,2.740088,0.164497,0.792055,1.999336,0.147139,0.036301
0.020000,1.563298,2.740709,0.181139,0.832103,2.002394,0.152935,0.038299
0.020000,1.580729,2.741394,0.198583,0.872216,2.005627,0.161625,0.040267
0.020000,1.598961,2.742146,0.216831,0.912396,2.008991,0.168217,0.042187
0.020000,1.617997,2.742968,0.235884,0.952646,2.012509,0.175905,0.044042
0.020000,1.637836,2.743860,0.255744,0.992969,2.016158,0.182463,0.045811
0.020000,1.658481,2.744824,0.276411,1.033368,2.019962,0.190164,0.047477
0.020000,1.679933,2.745860,0.297888,1.073846,2.023916,0.197710,0.049018
0.020000,1.702193,2.746968,0.320176,1.114407,2.028010,0.204683,0.050414
0.020000,1.725264,2.748147,0.343277,1.155052,2.032244,0.211700,0.051642
0.020000,1.749147,2.749394,0.367193,1.195785,2.036648,0.220231,0.052680
0.020000,1.773845,2.750707,0.391925,1.236608,2.041189,0.227055,0.053505
0.020000,1.799358,2.752082,0.417475,1.277526,2.045884,0.234735,0.054092
0.020000,1.825690,2.753512,0.443846,1.318541,2.050748,0.243179,0.054417
0.020000,1.852843,2.754993,0.471039,1.359656,2.055766,0.250934,0.054453
0.020000,1.880819,2.756514,0.499057,1.400875,2.060957,0.259540,0.054175
0.020000,1.909621,2.758068,0.527901,1.442202,2.066321,0.268189,0.053553
0.020000,1.939252,2.759643,0.557574,1.483639,2.071861,0.276990,0.052561
0.020000,1.969715,2.761225,0.588078,1.525191,2.077586,0.286263,0.051168
