dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.339094,3.040700,0.000024,0.004856,0.485641,48.564103,0.002520
0.010000,1.339094,3.040700,0.000121,0.014569,0.971282,48.564103,0.002464
0.010000,1.339094,3.040700,0.000340,0.029138,1.456923,48.564103,0.002337
0.010000,1.339094,3.040700,0.000728,0.048564,1.942564,48.564103,0.002112
0.010000,1.339094,3.040700,0.001336,0.072846,2.428205,48.564103,0.001760
0.010000,1.339094,3.040700,0.002210,0.101985,2.913846,48.564103,0.001254
0.010000,1.339094,3.040700,0.003399,0.135979,3.399487,48.564103,0.000564
0.010000,1.339674,3.040700,0.004954,0.174831,3.885128,48.564103,6.282849
0.010000,1.341641,3.040698,0.006920,0.218538,4.370769,48.564103,6.281710
0.010000,1.344045,3.040693,0.009324,0.262246,4.370769,0.000000,6.280317
0.010000,1.346886,3.040683,0.012165,0.305954,4.370769,-0.000000,6.278672
0.010000,1.350164,3.040665,0.015443,0.349662,4.370769,0.000000,6.276772
0.010000,1.353879,3.040637,0.019159,0.393369,4.370769,-0.000000,6.274620
0.010000,1.358031,3.040596,0.023311,0.437077,4.370769,0.000000,6.272214
0.010000,1.362620,3.040540,0.027900,0.480785,4.370769,0.000000,6.269556
0.010000,1.367646,3.040464,0.032926,0.524492,4.370769,0.000000,6.266644
0.010000,1.373108,3.040365,0.038390,0.568200,4.370769,-0.000000,6.263479
0.010000,1.379007,3.040239,0.044290,0.611908,4.370769,0.000000,6.260062
0.010000,1.385343,3.040080,0.050628,0.655615,4.370769,0.000000,6.256392
0.010000,1.392115,3.039886,0.057403,0.699323,4.370769,0.000000,6.252470
0.010000,1.399323,3.039649,0.064615,0.743031,4.370769,-0.000000,6.248297
0.010000,1.406966,3.039366,0.072263,0.786738,4.370769,0.000000,6.243873
0.010000,1.415045,3.039029,0.080349,0.830446,4.370769,0.000000,6.239200
0.010000,1.423559,3.038633,0.088872,0.874154,4.370769,-0.000000,6.234277
0.010000,1.432507,3.038172,0.097832,0.917862,4.370769,0.000000,6.229107
0.010000,1.441889,3.037639,0.107230,0.961569,4.370769,0.000000,6.223690
0.010000,1.451704,3.037026,0.117064,1.005277,4.370769,-0.000000,6.218028
0.010000,1.461952,3.036327,0.127335,1.048985,4.370769,0.000000,6.212123
0.010000,1.472631,3.035534,0.138043,1.092692,4.370769,-0.000000,6.205978
0.010000,1.483740,3.034639,0.149189,1.136400,4.370769,0.000000,6.199594
0.010000,1.495279,3.033633,0.160771,1.180108,4.370769,0.000000,6.192974
0.010000,1.507246,3.032510,0.172791,1.223815,4.370769,-0.000000,6.186122
0.010000,1.519639,3.031258,0.185248,1.267523,4.370769,0.000000,6.179040
0.010000,1.532458,3.029871,0.198142,1.311231,4.370769,-0.000000,6.171734
0.010000,1.545701,3.028339,0.211472,1.354938,4.370769,0.000000,6.164206
0.010000,1.559365,3.026651,0.225240,1.398646,4.370769,-0.000000,6.156462
0.010000,1.573449,3.024800,0.239445,1.442354,4.370769,0.000000,6.148507
0.010000,1.587950,3.022775,0.254087,1.486062,4.370769,0.000000,6.140346
0.010000,1.602866,3.020566,0.269167,1.529769,4.370769,0.000000,6.131986
0.010000,1.618195,3.018163,0.284683,1.573477,4.370769,0.000000,6.123434
0.010000,1.633934,3.015557,0.300636,1.617185,4.370769,-0.000000,6.114695
0.010000,1.650080,3.012736,0.317026,1.660892,4.370769,0.000000,6.105779
0.010000,1.666630,3.009691,0.333854,1.704600,4.370769,-0.000000,6.096693
