dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.339290,2.962923,0.000024,0.004856,0.485641,48.564103,0.002520
0.010000,1.339285,2.962923,0.000029,0.000438,-0.441853,-92.749437,0.002464
0.010000,1.339275,2.962923,0.000039,0.000985,0.054732,49.658552,0.002337
0.010000,1.339258,2.962922,0.000056,0.001751,0.076618,2.188608,0.002112
0.010000,1.339231,2.962922,0.000083,0.002736,0.098494,2.187561,0.001760
0.010000,1.339191,2.962922,0.000123,0.003940,0.120352,2.185834,0.001254
0.010000,1.339138,2.962922,0.000176,0.005362,0.142185,2.183235,0.000564
0.010000,1.339648,2.962922,0.000687,0.051019,4.565741,442.355662,6.282849
0.010000,1.341526,2.962921,0.002565,0.187845,13.682552,911.681082,6.281710
0.010000,1.343822,2.962916,0.004860,0.229540,4.169491,-951.306135,6.280317
0.010000,1.346535,2.962906,0.007574,0.271308,4.176855,0.736460,6.278672
0.010000,1.349665,2.962888,0.010704,0.313049,4.174135,-0.271995,6.276772
0.010000,1.353213,2.962862,0.014252,0.354772,4.172273,-0.186255,6.274620
0.010000,1.357178,2.962823,0.018217,0.396510,4.173784,0.151163,6.272214
0.010000,1.361560,2.962769,0.022599,0.438253,4.174295,0.051093,6.269556
0.010000,1.366359,2.962697,0.027399,0.479992,4.173856,-0.043942,6.266644
0.010000,1.371576,2.962602,0.032616,0.521717,4.172523,-0.133322,6.263479
0.010000,1.377209,2.962482,0.038251,0.563469,4.175251,0.272867,6.260062
0.010000,1.383259,2.962331,0.044303,0.605233,4.176417,0.116563,6.256392
0.010000,1.389726,2.962145,0.050773,0.646953,4.171966,-0.445062,6.252470
0.010000,1.396610,2.961919,0.057660,0.688716,4.176248,0.428136,6.248297
0.010000,1.403910,2.961648,0.064965,0.730491,4.177548,0.130067,6.243873
0.010000,1.411625,2.961326,0.072687,0.772241,4.174983,-0.256516,6.239200
0.010000,1.419757,2.960948,0.080828,0.814010,4.176912,0.192848,6.234277
0.010000,1.428303,2.960508,0.089385,0.855790,4.178030,0.111877,6.229107
0.010000,1.437264,2.959998,0.098361,0.897575,4.178449,0.041827,6.223690
0.010000,1.446640,2.959413,0.107755,0.939362,4.178677,0.022871,6.218028
0.010000,1.456429,2.958745,0.117567,0.981231,4.186898,0.822074,6.212123
0.010000,1.466631,2.957988,0.127797,1.023018,4.178698,-0.819990,6.205978
0.010000,1.477246,2.957132,0.138446,1.064909,4.189152,1.045328,6.199594
0.010000,1.488272,2.956172,0.149514,1.106755,4.184638,-0.451399,6.192974
0.010000,1.499708,2.955098,0.161000,1.148648,4.189299,0.466140,6.186122
0.010000,1.511554,2.953902,0.172906,1.190587,4.193874,0.457484,6.179040
0.010000,1.523808,2.952576,0.185232,1.232541,4.195377,0.150352,6.171734
0.010000,1.536469,2.951111,0.197977,1.274543,4.200252,0.487472,6.164206
0.010000,1.549535,2.949497,0.211143,1.316567,4.202374,0.212192,6.156462
0.010000,1.563005,2.947727,0.224729,1.358618,4.205044,0.266990,6.148507
0.010000,1.576878,2.945789,0.238736,1.400728,4.211069,0.602561,6.140346
0.010000,1.591151,2.943675,0.253165,1.442888,4.215968,0.489814,6.131986
0.010000,1.605823,2.941376,0.268016,1.485100,4.221244,0.527592,6.123434
0.010000,1.620891,2.938880,0.283290,1.527354,4.225393,0.414936,6.114695
0.010000,1.636354,2.936179,0.298987,1.569678,4.232390,0.699716,6.105779
0.010000,1.652208,2.933262,0.315107,1.612070,4.239142,0.675190,6.096693
0.010000,1.668453,2.930119,0.331652,1.654528,4.245827,0.668475,6.087446
0.010000,1.685083,2.926740,0.348623,1.697054,4.252613,0.678609,6.078047
0.010000,1.702098,2.923115,0.366020,1.739651,4.259657,0.704466,6.068506
0.010000,1.719494,2.919233,0.383843,1.782341,4.269008,0.935068,6.058834
0.010000,1.737267,2.915086,0.402094,1.825106,4.276559,0.755068,6.049041
0.010000,1.755415,2.910662,0.420774,1.867967,4.286028,0.946960,6.039138
0.010000,1.773935,2.905952,0.439883,1.910911,4.294390,0.836203,6.029138
0.010000,1.792822,2.900945,0.459422,1.953955,4.304440,1.004908,6.019053
