dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.221477,2.721410,0.000024,0.004856,0.485641,48.564103,6.282457
0.010000,0.221475,2.721410,0.000026,0.000210,-0.464643,-95.028440,6.282484
0.010000,0.221470,2.721410,0.000031,0.000472,0.026239,49.088217,6.282545
0.010000,0.221462,2.721410,0.000040,0.000839,0.036711,1.047238,6.282653
0.010000,0.221449,2.721410,0.000053,0.001311,0.047148,1.043688,6.282821
0.010000,0.221430,2.721410,0.000071,0.001886,0.057527,1.037874,6.283064
0.010000,0.222156,2.721410,0.000798,0.072664,7.077786,702.025909,0.000208
0.010000,0.223677,2.721411,0.002319,0.152061,7.939666,86.187982,0.000638
0.010000,0.225602,2.721412,0.004243,0.192460,4.039954,-389.971184,0.001182
0.010000,0.227954,2.721416,0.006596,0.235242,4.278148,23.819439,0.001844
0.010000,0.230734,2.721422,0.009376,0.278031,4.278910,0.076164,0.002624
0.010000,0.233942,2.721432,0.012584,0.320829,4.279804,0.089421,0.003521
0.010000,0.237579,2.721447,0.016221,0.363637,4.280843,0.103846,0.004534
0.010000,0.241643,2.721467,0.020285,0.406457,4.282013,0.117056,0.005661
0.010000,0.246136,2.721495,0.024778,0.449291,4.283324,0.131134,0.006901
0.010000,0.251057,2.721533,0.029700,0.492138,4.284779,0.145461,0.008251
0.010000,0.256407,2.721581,0.035050,0.535002,4.286372,0.159334,0.009709
0.010000,0.262186,2.721641,0.040828,0.577883,4.288110,0.173752,0.011274
0.010000,0.268393,2.721717,0.047036,0.620783,4.289986,0.187626,0.012943
0.010000,0.275030,2.721808,0.053673,0.663703,4.291988,0.200212,0.014712
0.010000,0.282095,2.721919,0.060740,0.706645,4.294165,0.217651,0.016581
0.010000,0.289590,2.722051,0.068236,0.749609,4.296469,0.230448,0.018545
0.010000,0.297515,2.722206,0.076162,0.792598,4.298903,0.243375,0.020601
0.010000,0.305869,2.722387,0.084518,0.835613,4.301497,0.259351,0.022746
0.010000,0.314653,2.722597,0.093305,0.878656,4.304263,0.276673,0.024977
0.010000,0.323867,2.722837,0.102522,0.921726,4.307034,0.277055,0.027290
0.010000,0.333511,2.723112,0.112170,0.964828,4.310169,0.313470,0.029681
0.010000,0.343586,2.723424,0.122250,1.007961,4.313281,0.311287,0.032146
0.010000,0.354091,2.723775,0.132761,1.051126,4.316554,0.327286,0.034680
0.010000,0.365028,2.724169,0.143704,1.094326,4.320002,0.344758,0.037280
0.010000,0.376395,2.724608,0.155080,1.137563,4.323637,0.363545,0.039940
0.010000,0.388193,2.725095,0.166888,1.180836,4.327323,0.368585,0.042656
0.010000,0.400423,2.725634,0.179130,1.224148,4.331236,0.391303,0.045423
0.010000,0.413084,2.726228,0.191805,1.267500,4.335112,0.387575,0.048236
0.010000,0.426176,2.726879,0.204914,1.310893,4.339366,0.425446,0.051089
0.010000,0.439701,2.727590,0.218457,1.354329,4.343616,0.424953,0.053977
0.010000,0.453658,2.728364,0.232435,1.397808,4.347914,0.429775,0.056894
0.010000,0.468047,2.729205,0.246848,1.441335,4.352678,0.476435,0.059835
0.010000,0.482868,2.730115,0.261697,1.484906,4.357076,0.439799,0.062793
0.010000,0.498121,2.731097,0.276983,1.528527,4.362067,0.499133,0.065762
0.010000,0.513808,2.732154,0.292705,1.572196,4.366937,0.486959,0.068737
0.010000,0.529927,2.733288,0.308864,1.615916,4.371992,0.505494,0.071710
0.010000,0.546480,2.734501,0.325461,1.659688,4.377226,0.523403,0.074674
0.010000,0.563465,2.735798,0.342496,1.703511,4.382259,0.503279,0.077624
0.010000,0.580885,2.737178,0.359970,1.747391,4.387996,0.573755,0.080552
0.010000,0.598738,2.738646,0.377883,1.791325,4.393402,0.540593,0.083450
0.010000,0.617025,2.740202,0.396236,1.835315,4.398978,0.557578,0.086312
0.010000,0.635746,2.741848,0.415030,1.879362,4.404737,0.575927,0.089131
0.010000,0.654902,2.743587,0.434264,1.923469,4.410679,0.594129,0.091898
0.010000,0.674493,2.745420,0.453941,1.967637,4.416797,0.611805,0.094606
0.010000,0.694519,2.747347,0.474059,2.011862,4.422572,0.577571,0.097247
0.010000,0.714981,2.749370,0.494621,2.056153,4.429051,0.647856,0.099814
0.010000,0.735879,2.751489,0.515626,2.100506,4.435295,0.624452,0.102298
0.010000,0.757213,2.753705,0.537075,2.144923,4.441719,0.642316,0.104690
0.010000,0.778984,2.756018,0.558969,2.189406,4.448313,0.659407,0.106983
0.010000,0.801194,2.758428,0.581309,2.233955,4.454865,0.655252,0.109167
0.010000,0.823841,2.760934,0.604095,2.278573,4.461772,0.690712,0.111235
0.010000,0.846928,2.763536,0.627327,2.323258,4.468515,0.674242,0.113177
0.010000,0.870454,2.766232,0.651007,2.368014,4.475650,0.713539,0.114984
0.010000,0.894421,2.769021,0.675136,2.412842,4.482765,0.711541,0.116647
0.010000,0.918829,2.771900,0.699713,2.457742,4.490039,0.727347,0.118156
0.010000,0.943679,2.774867,0.724740,2.502715,4.497320,0.728064,0.119503
0.010000,0.968973,2.777920,0.750218,2.547766,4.505026,0.770654,0.120678
0.010000,0.994712,2.781055,0.776147,2.592891,4.512557,0.753107,0.121670
0.010000,1.020897,2.784267,0.802528,2.638096,4.520448,0.789074,0.122470
0.010000,1.047529,2.787554,0.829362,2.683380,4.528419,0.797104,0.123067
0.010000,1.074609,2.790909,0.856649,2.728745,4.536545,0.812595,0.123450
0.010000,1.102139,2.794328,0.884391,2.774194,4.544842,0.829758,0.123610
0.010000,1.130122,2.797804,0.912588,2.819727,4.553334,0.849198,0.123536
0.010000,1.158557,2.801331,0.941242,2.865347,4.562004,0.866915,0.123215
0.010000,1.187448,2.804901,0.970352,2.911056,4.570856,0.885276,0.122637
0.010000,1.216796,2.808506,0.999921,2.956855,4.579905,0.904864,0.121791
0.010000,1.246603,2.812138,1.029948,3.002746,4.589150,0.924520,0.120663
0.010000,1.276871,2.815787,1.060436,3.048734,4.598733,0.958308,0.119243
0.010000,1.307603,2.819443,1.091384,3.094816,4.608270,0.953718,0.117517
0.010000,1.338800,2.823095,1.122794,3.141000,4.618386,1.011520,0.115472
0.010000,1.370464,2.826730,1.154667,3.187284,4.628424,1.003851,0.113097
0.010000,1.402599,2.830337,1.187003,3.233673,4.638845,1.042047,0.110376
0.010000,1.435183,2.833898,1.219781,3.277720,4.404757,-23.408748,0.107300
0.010000,1.468168,2.837394,1.252950,3.316974,3.925398,-47.935935,0.103860
0.010000,1.501508,2.840806,1.286464,3.351419,3.444472,-48.092571,0.100049
0.010000,1.535156,2.844114,1.320275,3.381042,2.962321,-48.215103,0.095864
0.010000,1.569065,2.847297,1.354333,3.405828,2.478547,-48.377439,0.091302
0.010000,1.603187,2.850338,1.388591,3.425764,1.993631,-48.491550,0.086362
0.010000,1.637475,2.853215,1.422999,3.440831,1.506716,-48.691506,0.081046
0.010000,1.671880,2.855912,1.457509,3.451015,1.018363,-48.835311,0.075357
0.010000,1.706352,2.858411,1.492072,3.456298,0.528349,-49.001363,0.069301
0.010000,1.740868,2.860697,1.526664,3.459129,0.283090,-24.525901,0.062881
0.010000,1.775426,2.862756,1.561283,3.461965,0.283577,0.048664,0.056096
0.010000,1.810027,2.864576,1.595931,3.464805,0.283938,0.036107,0.048946
0.010000,1.844668,2.866143,1.630608,3.467644,0.283929,-0.000886,0.041430
0.010000,1.879348,2.867445,1.665313,3.470482,0.283774,-0.015567,0.033550
0.010000,1.914066,2.868468,1.700046,3.473315,0.283337,-0.043629,0.025305
0.010000,1.948820,2.869199,1.734807,3.476141,0.282581,-0.075581,0.016697
0.010000,1.983607,2.869625,1.769597,3.478955,0.281466,-0.111529,0.007727
0.010000,2.018424,2.869733,1.804414,3.481755,0.279951,-0.151542,6.281582
0.010000,2.053269,2.869509,1.839260,3.484535,0.277985,-0.196585,6.271895
0.010000,2.088137,2.868941,1.874132,3.487290,0.275487,-0.249773,6.261853
0.010000,2.123025,2.868017,1.909033,3.490015,0.272530,-0.295731,6.251460
0.010000,2.157928,2.866722,1.943960,3.492705,0.268997,-0.353265,6.240722
0.010000,2.192841,2.865046,1.978913,3.495354,0.264866,-0.413081,6.229642
0.010000,2.227760,2.862976,2.013893,3.497955,0.260104,-0.476211,6.218229
0.010000,2.262677,2.860499,2.048898,3.500501,0.254682,-0.542241,6.206487
0.010000,2.297587,2.857605,2.083928,3.502986,0.248499,-0.618297,6.194426
0.010000,2.332483,2.854283,2.118982,3.505399,0.241295,-0.720352,6.182055
0.010000,2.367358,2.850522,2.154059,3.507740,0.234027,-0.726873,6.169382
0.010000,2.402205,2.846311,2.189159,3.509997,0.225745,-0.828140,6.156419
