dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.089088,3.055406,0.000120,0.011991,0.599560,29.978001,0.010454
0.020000,1.089088,3.055406,0.000600,0.035974,1.199120,29.978001,0.010407
0.020000,1.089088,3.055406,0.001559,0.059956,1.199120,0.000000,0.010313
0.020000,1.089088,3.055406,0.002998,0.083938,1.199120,0.000000,0.010171
0.020000,1.090809,3.055424,0.004916,0.107921,1.199120,-0.000000,0.009983
0.020000,1.093207,3.055447,0.007315,0.131903,1.199120,0.000000,0.009747
0.020000,1.096085,3.055475,0.010193,0.155886,1.199120,-0.000000,0.009464
0.020000,1.099442,3.055506,0.013550,0.179868,1.199120,0.000000,0.009133
0.020000,1.103279,3.055541,0.017387,0.203850,1.199120,-0.000000,0.008755
0.020000,1.107596,3.055577,0.021704,0.227833,1.199120,0.000000,0.008330
0.020000,1.112392,3.055616,0.026501,0.251815,1.199120,-0.000000,0.007856
0.020000,1.117668,3.055656,0.031777,0.275798,1.199120,-0.000000,0.007335
0.020000,1.123424,3.055697,0.037532,0.299780,1.199120,0.000000,0.006765
0.020000,1.129659,3.055737,0.043768,0.323762,1.199120,-0.000000,0.006147
0.020000,1.136374,3.055776,0.050483,0.347745,1.199120,0.000000,0.005481
0.020000,1.143568,3.055813,0.057678,0.371727,1.199120,0.000000,0.004766
0.020000,1.151243,3.055847,0.065352,0.395710,1.199120,0.000000,0.004002
0.020000,1.159397,3.055876,0.073506,0.419692,1.199120,-0.000000,0.003189
0.020000,1.168030,3.055900,0.082140,0.443674,1.199120,0.000000,0.002327
0.020000,1.177144,3.055917,0.091253,0.467657,1.199120,0.000000,0.001415
0.020000,1.186737,3.055926,0.100846,0.491639,1.199120,-0.000000,0.000453
0.020000,1.196809,3.055925,0.110919,0.515622,1.199120,0.000000,6.282626
0.020000,1.207361,3.055914,0.121471,0.539604,1.199120,-0.000000,6.281563
0.020000,1.218393,3.055890,0.132503,0.563586,1.199120,-0.000000,6.280449
0.020000,1.229905,3.055852,0.144014,0.587569,1.199120,0.000000,6.279284
0.020000,1.241896,3.055798,0.156006,0.611551,1.199120,0.000000,6.278067
0.020000,1.254367,3.055726,0.168476,0.635534,1.199120,-0.000000,6.276799
0.020000,1.267317,3.055635,0.181427,0.659516,1.199120,0.000000,6.275477
0.020000,1.280746,3.055522,0.194857,0.683498,1.199120,0.000000,6.274104
0.020000,1.294656,3.055386,0.208767,0.707481,1.199120,-0.000000,6.272676
0.020000,1.309044,3.055224,0.223156,0.731463,1.199120,0.000000,6.271195
0.020000,1.323912,3.055034,0.238025,0.755446,1.199120,0.000000,6.269660
