dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.192010,2.918804,0.000024,0.004856,0.485641,48.564103,0.000031
0.010000,0.192010,2.918804,0.000024,0.000008,-0.484834,-97.047545,0.000030
0.010000,0.192010,2.918804,0.000025,0.000018,0.001008,48.584257,0.000028
0.010000,0.192010,2.918804,0.000025,0.000032,0.001411,0.040296,0.000024
0.010000,0.192009,2.918804,0.000025,0.000050,0.001814,0.040250,0.000017
0.010000,0.192008,2.918804,0.000026,0.000073,0.002215,0.040175,0.000008
0.010000,0.192451,2.918804,0.000468,0.044226,4.415297,441.308192,6.283181
0.010000,0.194003,2.918804,0.002021,0.155276,11.105075,668.977801,6.283164
0.010000,0.195969,2.918804,0.003986,0.196522,4.124536,-698.053903,6.283143
0.010000,0.198371,2.918803,0.006388,0.240193,4.367163,24.262706,6.283117
0.010000,0.201209,2.918803,0.009227,0.283865,4.367174,0.001054,6.283087
0.010000,0.204485,2.918803,0.012502,0.327537,4.367186,0.001171,6.283052
0.010000,0.208197,2.918802,0.016214,0.371209,4.367198,0.001289,6.283013
0.010000,0.212345,2.918801,0.020363,0.414881,4.367213,0.001409,6.282969
0.010000,0.216931,2.918800,0.024949,0.458553,4.367232,0.001922,6.282921
0.010000,0.221953,2.918799,0.029971,0.502226,4.367248,0.001614,6.282867
0.010000,0.227412,2.918797,0.035430,0.545898,4.367270,0.002177,6.282810
0.010000,0.233308,2.918795,0.041326,0.589571,4.367292,0.002261,6.282748
0.010000,0.239640,2.918792,0.047658,0.633245,4.367316,0.002391,6.282681
0.010000,0.246410,2.918788,0.054427,0.676918,4.367342,0.002558,6.282611
0.010000,0.253615,2.918784,0.061633,0.720592,4.367368,0.002632,6.282535
0.010000,0.261258,2.918778,0.069276,0.764266,4.367400,0.003147,6.282456
0.010000,0.269338,2.918772,0.077355,0.807940,4.367429,0.002915,6.282372
0.010000,0.277854,2.918765,0.085871,0.851615,4.367463,0.003390,6.282284
0.010000,0.286807,2.918756,0.094824,0.895290,4.367498,0.003510,6.282191
0.010000,0.296196,2.918746,0.104214,0.938965,4.367534,0.003634,6.282095
0.010000,0.306023,2.918735,0.114040,0.982641,4.367572,0.003761,6.281994
0.010000,0.316286,2.918722,0.124304,1.026317,4.367611,0.003949,6.281890
0.010000,0.326986,2.918708,0.135003,1.069993,4.367655,0.004385,6.281781
