dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.368414,0.765481,0.000024,0.004856,0.485641,48.564103,0.000879
0.010000,0.368415,0.765481,0.000026,0.000130,-0.472637,-95.827753,0.000862
0.010000,0.368418,0.765481,0.000029,0.000293,0.016252,48.888870,0.000825
0.010000,0.368424,0.765481,0.000034,0.000520,0.022743,0.649122,0.000758
0.010000,0.368432,0.765481,0.000042,0.000812,0.029220,0.647639,0.000653
0.010000,0.368443,0.765481,0.000054,0.001169,0.035672,0.645212,0.000503
0.010000,0.368459,0.765481,0.000069,0.001590,0.042088,0.641604,0.000299
0.010000,0.368480,0.765481,0.000090,0.002074,0.048454,0.636578,0.000032
0.010000,0.370286,0.765481,0.001896,0.180613,17.853842,1780.538852,6.282880
0.010000,0.372722,0.765480,0.004332,0.243593,6.298035,-1155.580712,6.282469
0.010000,0.375601,0.765477,0.007211,0.287871,4.427806,-187.022876,6.281984
0.010000,0.378922,0.765472,0.010532,0.332156,4.428513,0.070645,6.281425
0.010000,0.382687,0.765464,0.014297,0.376420,4.426358,-0.215457,6.280794
0.010000,0.386893,0.765453,0.018504,0.420692,4.427187,0.082903,6.280091
0.010000,0.391543,0.765436,0.023153,0.464956,4.426422,-0.076572,6.279316
0.010000,0.396635,0.765415,0.028245,0.509213,4.425677,-0.074420,6.278471
0.010000,0.402170,0.765386,0.033780,0.553463,4.424976,-0.070116,6.277556
0.010000,0.408147,0.765349,0.039757,0.597706,4.424320,-0.065587,6.276572
0.010000,0.414566,0.765304,0.046176,0.641943,4.423712,-0.060828,6.275521
0.010000,0.421427,0.765247,0.053038,0.686166,4.422366,-0.134593,6.274402
0.010000,0.428731,0.765179,0.060342,0.730381,4.421476,-0.089062,6.273219
0.010000,0.436476,0.765097,0.068088,0.774596,4.421521,0.004534,6.271971
0.010000,0.444664,0.764999,0.076276,0.818784,4.418801,-0.272002,6.270660
0.010000,0.453293,0.764885,0.084905,0.862977,4.419218,0.041705,6.269287
0.010000,0.462363,0.764753,0.093977,0.907156,4.417908,-0.130974,6.267854
0.010000,0.471875,0.764600,0.103490,0.951312,4.415600,-0.230794,6.266363
0.010000,0.481828,0.764425,0.113445,0.995464,4.415254,-0.034580,6.264815
0.010000,0.492222,0.764225,0.123841,1.039604,4.413925,-0.132926,6.263211
0.010000,0.503057,0.764000,0.134678,1.083729,4.412562,-0.136358,6.261554
0.010000,0.514333,0.763746,0.145957,1.127842,4.411252,-0.130957,6.259845
0.010000,0.526049,0.763462,0.157676,1.171930,4.408799,-0.245275,6.258086
0.010000,0.538205,0.763146,0.169836,1.216013,4.408290,-0.050887,6.256279
0.010000,0.550801,0.762796,0.182437,1.260085,4.407223,-0.106705,6.254426
0.010000,0.563836,0.762408,0.195478,1.304121,4.403652,-0.357105,6.252530
0.010000,0.577311,0.761982,0.208960,1.348164,4.404249,0.059689,6.250592
0.010000,0.591225,0.761514,0.222881,1.392170,4.400571,-0.367841,6.248614
0.010000,0.605577,0.761004,0.237243,1.436168,4.399858,-0.071324,6.246599
0.010000,0.620368,0.760447,0.252045,1.480148,4.398031,-0.182617,6.244550
0.010000,0.635597,0.759842,0.267286,1.524108,4.395931,-0.210073,6.242468
0.010000,0.651264,0.759188,0.282966,1.568047,4.393890,-0.204017,6.240357
0.010000,0.667368,0.758480,0.299086,1.611966,4.391913,-0.197779,6.238218
0.010000,0.683910,0.757718,0.315644,1.655866,4.389998,-0.191458,6.236054
0.010000,0.700887,0.756898,0.332642,1.699747,4.388147,-0.185155,6.233868
0.010000,0.718301,0.756020,0.350078,1.743606,4.385888,-0.225818,6.231663
0.010000,0.736151,0.755079,0.367952,1.787435,4.382891,-0.299751,6.229442
0.010000,0.754436,0.754075,0.386265,1.831260,4.382460,-0.043091,6.227207
0.010000,0.773156,0.753005,0.405015,1.875039,4.377932,-0.452839,6.224961
0.010000,0.792310,0.751867,0.424203,1.918814,4.377545,-0.038610,6.222707
0.010000,0.811898,0.750658,0.443829,1.962563,4.374838,-0.270738,6.220448
0.010000,0.831920,0.749378,0.463892,2.006277,4.371415,-0.342295,6.218188
0.010000,0.852375,0.748023,0.484392,2.049975,4.369815,-0.159969,6.215929
0.010000,0.873263,0.746592,0.505328,2.093649,4.367364,-0.245146,6.213675
0.010000,0.894582,0.745084,0.526701,2.137297,4.364858,-0.250558,6.211428
0.010000,0.916334,0.743496,0.548510,2.180920,4.362266,-0.259208,6.209193
0.010000,0.938516,0.741826,0.570755,2.224510,4.358968,-0.329864,6.206972
0.010000,0.961129,0.740075,0.593436,2.268083,4.357320,-0.164761,6.204768
0.010000,0.984172,0.738238,0.616552,2.311632,4.354919,-0.240108,6.202586
0.010000,1.007645,0.736317,0.640104,2.355138,4.350612,-0.430715,6.200428
0.010000,1.031547,0.734308,0.664090,2.398636,4.349798,-0.081400,6.198299
0.010000,1.055878,0.732212,0.688511,2.442092,4.345572,-0.422593,6.196201
0.010000,1.080637,0.730027,0.713366,2.485526,4.343407,-0.216457,6.194138
0.010000,1.105824,0.727753,0.738656,2.528933,4.340718,-0.268981,6.192114
0.010000,1.131438,0.725388,0.764379,2.572310,4.337651,-0.306613,6.190133
0.010000,1.157479,0.722932,0.790535,2.615656,4.334648,-0.300304,6.188199
0.010000,1.183947,0.720385,0.817125,2.658973,4.331697,-0.295119,6.186314
0.010000,1.210840,0.717747,0.844148,2.702261,4.328785,-0.291237,6.184483
0.010000,1.238159,0.715017,0.871603,2.745520,4.325897,-0.288826,6.182710
0.010000,1.265904,0.712195,0.899490,2.788750,4.323016,-0.288047,6.180999
0.010000,1.294073,0.709283,0.927810,2.831938,4.318846,-0.417009,6.179354
0.010000,1.322667,0.706281,0.956561,2.875109,4.317063,-0.178282,6.177779
0.010000,1.351685,0.703188,0.985743,2.918238,4.312876,-0.418678,6.176277
0.010000,1.381127,0.700007,1.015357,2.961343,4.310498,-0.237832,6.174854
0.010000,1.410993,0.696738,1.045401,3.004407,4.306433,-0.406507,6.173513
0.010000,1.441282,0.693384,1.075875,3.047442,4.303484,-0.294861,6.172258
0.010000,1.471994,0.689944,1.106780,3.090444,4.300190,-0.329481,6.171094
0.010000,1.503130,0.686423,1.138114,3.133411,4.296700,-0.348975,6.170026
0.010000,1.534688,0.682820,1.169877,3.176343,4.293214,-0.348625,6.169057
0.010000,1.566670,0.679140,1.202070,3.219240,4.289708,-0.350546,6.168192
0.010000,1.599050,0.675387,1.234666,3.259669,4.042933,-24.677475,6.167437
0.010000,1.631780,0.671571,1.267618,3.295200,3.553040,-48.989373,6.166797
0.010000,1.664812,0.667700,1.300877,3.325839,3.063891,-48.914830,6.166275
0.010000,1.698099,0.663783,1.334393,3.351592,2.575331,-48.855995,6.165877
0.010000,1.731591,0.659831,1.368117,3.372462,2.086968,-48.836308,6.165606
