dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.369790,0.609936,0.000199,0.019864,0.993217,49.660836,0.016813
0.020000,0.369792,0.609936,0.000200,0.000087,-0.988876,-99.104653,0.016836
0.020000,0.369795,0.609937,0.000204,0.000174,0.004345,49.661087,0.016880
0.020000,0.369801,0.609937,0.000209,0.000261,0.004355,0.000501,0.016947
0.020000,0.372978,0.609991,0.003387,0.158915,7.932700,396.417227,0.017037
0.020000,0.376959,0.610059,0.007369,0.199079,2.008230,-296.223478,0.017149
0.020000,0.381737,0.610141,0.012147,0.238896,1.990847,-0.869165,0.017284
0.020000,0.387310,0.610238,0.017721,0.278714,1.990882,0.001737,0.017442
0.020000,0.393680,0.610349,0.024092,0.318532,1.990905,0.001135,0.017622
0.020000,0.400846,0.610476,0.031259,0.358351,1.990967,0.003103,0.017826
0.020000,0.408808,0.610619,0.039222,0.398171,1.990996,0.001465,0.018054
0.020000,0.417566,0.610779,0.047982,0.437993,1.991067,0.003556,0.018305
0.020000,0.427121,0.610955,0.057538,0.477815,1.991097,0.001504,0.018580
0.020000,0.437472,0.611149,0.067891,0.517638,1.991167,0.003481,0.018880
0.020000,0.448619,0.611361,0.079040,0.557462,1.991224,0.002872,0.019204
0.020000,0.460563,0.611592,0.090986,0.597289,1.991318,0.004704,0.019554
0.020000,0.473302,0.611844,0.103729,0.637116,1.991380,0.003065,0.019929
0.020000,0.486839,0.612116,0.117267,0.676946,1.991470,0.004539,0.020329
0.020000,0.501171,0.612411,0.131603,0.716777,1.991538,0.003401,0.020756
0.020000,0.516300,0.612728,0.146735,0.756609,1.991643,0.005247,0.021210
0.020000,0.532225,0.613070,0.162664,0.796444,1.991736,0.004628,0.021691
0.020000,0.548947,0.613437,0.179390,0.836280,1.991816,0.003996,0.022200
0.020000,0.566465,0.613831,0.196912,0.876120,1.991993,0.008882,0.022737
0.020000,0.584779,0.614252,0.215231,0.915961,1.992020,0.001322,0.023303
0.020000,0.603890,0.614704,0.234347,0.955804,1.992175,0.007744,0.023899
0.020000,0.623797,0.615186,0.254260,0.995651,1.992313,0.006897,0.024525
0.020000,0.644501,0.615700,0.274970,1.035499,1.992439,0.006340,0.025181
0.020000,0.666001,0.616249,0.296477,1.075350,1.992560,0.006009,0.025870
0.020000,0.688297,0.616834,0.318781,1.115204,1.992660,0.004998,0.026590
0.020000,0.711390,0.617457,0.341883,1.155061,1.992887,0.011375,0.027343
0.020000,0.735279,0.618120,0.365781,1.194921,1.992967,0.003974,0.028130
0.020000,0.759965,0.618825,0.390477,1.234784,1.993144,0.008853,0.028952
0.020000,0.785447,0.619573,0.415970,1.274650,1.993308,0.008209,0.029809
0.020000,0.811725,0.620369,0.442260,1.314519,1.993459,0.007552,0.030702
0.020000,0.838800,0.621213,0.469348,1.354392,1.993642,0.009146,0.031632
0.020000,0.866671,0.622108,0.497233,1.394268,1.993821,0.008941,0.032600
0.020000,0.895338,0.623057,0.525916,1.434148,1.994004,0.009174,0.033607
0.020000,0.924801,0.624063,0.555397,1.474032,1.994173,0.008432,0.034654
0.020000,0.955061,0.625129,0.585675,1.513919,1.994373,0.010038,0.035742
0.020000,0.986117,0.626257,0.616752,1.553810,1.994561,0.009373,0.036871
0.020000,1.017969,0.627450,0.648626,1.593706,1.994787,0.011294,0.038044
0.020000,1.050616,0.628713,0.681298,1.633606,1.994981,0.009733,0.039260
0.020000,1.084060,0.630048,0.714768,1.673510,1.995206,0.011206,0.040521
0.020000,1.118299,0.631458,0.749036,1.713418,1.995405,0.009964,0.041829
