dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.368454,5.721481,0.000024,0.004856,0.485641,48.564103,0.000675
0.010000,1.368456,5.721481,0.000027,0.000259,-0.459711,-94.535183,0.000642
0.010000,1.368462,5.721481,0.000033,0.000583,0.032402,49.211287,0.000567
0.010000,1.368472,5.721481,0.000043,0.001037,0.045333,1.293087,0.000434
0.010000,1.368489,5.721481,0.000059,0.001619,0.058218,1.288491,0.000226
0.010000,1.368727,5.721481,0.000298,0.023880,2.226091,216.787276,6.283112
0.010000,1.369949,5.721480,0.001520,0.122149,9.826924,760.083317,6.282704
0.010000,1.371544,5.721479,0.003115,0.159535,3.738555,-608.836892,6.282173
0.010000,1.373563,5.721477,0.005134,0.201900,4.236555,49.799994,6.281503
0.010000,1.376031,5.721471,0.007601,0.246751,4.485051,24.849585,6.280685
0.010000,1.378947,5.721463,0.010517,0.291591,4.484055,-0.099553,6.279722
0.010000,1.382311,5.721449,0.013882,0.336422,4.483054,-0.100111,6.278615
0.010000,1.386123,5.721429,0.017694,0.381238,4.481607,-0.144665,6.277365
0.010000,1.390383,5.721402,0.021954,0.426039,4.480096,-0.151111,6.275974
0.010000,1.395092,5.721364,0.026663,0.470822,4.478370,-0.172667,6.274445
0.010000,1.400247,5.721315,0.031818,0.515590,4.476748,-0.162191,6.272780
0.010000,1.405850,5.721251,0.037422,0.560334,4.474399,-0.234913,6.270982
0.010000,1.411900,5.721172,0.043472,0.605057,4.472288,-0.211005,6.269053
0.010000,1.418397,5.721073,0.049970,0.649755,4.469873,-0.241598,6.266996
0.010000,1.425340,5.720953,0.056914,0.694427,4.467171,-0.270104,6.264816
0.010000,1.432730,5.720809,0.064305,0.739072,4.464458,-0.271321,6.262515
0.010000,1.440565,5.720637,0.072142,0.783685,4.461359,-0.309928,6.260098
0.010000,1.448845,5.720436,0.080424,0.828268,4.458218,-0.314056,6.257568
0.010000,1.457570,5.720201,0.089153,0.872816,4.454796,-0.342255,6.254930
0.010000,1.466739,5.719929,0.098326,0.917327,4.451162,-0.363374,6.252189
0.010000,1.476352,5.719617,0.107944,0.961802,4.447451,-0.371068,6.249350
0.010000,1.486408,5.719262,0.118006,1.006236,4.443403,-0.404824,6.246416
0.010000,1.496907,5.718860,0.128512,1.050628,4.439189,-0.421415,6.243395
0.010000,1.507847,5.718407,0.139462,1.094976,4.434856,-0.433325,6.240292
0.010000,1.519229,5.717901,0.150855,1.139278,4.430184,-0.467164,6.237112
0.010000,1.531050,5.717336,0.162690,1.183532,4.425451,-0.473359,6.233862
0.010000,1.543312,5.716710,0.174968,1.227737,4.420411,-0.503955,6.230548
