dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.368506,5.643703,0.000024,0.004856,0.485641,48.564103,0.000675
0.010000,1.368506,5.643703,0.000121,0.014569,0.971282,48.564103,0.000642
0.010000,1.368506,5.643703,0.000340,0.029138,1.456923,48.564103,0.000567
0.010000,1.368506,5.643703,0.000728,0.048564,1.942564,48.564103,0.000434
0.010000,1.368506,5.643703,0.001336,0.072846,2.428205,48.564103,0.000226
0.010000,1.368722,5.643703,0.002210,0.101985,2.913846,48.564103,6.283112
0.010000,1.369912,5.643703,0.003399,0.135979,3.399487,48.564103,6.282704
0.010000,1.371466,5.643701,0.004954,0.174831,3.885128,48.564103,6.282173
0.010000,1.373432,5.643699,0.006920,0.218538,4.370769,48.564103,6.281503
0.010000,1.375836,5.643694,0.009324,0.262246,4.370769,0.000000,6.280685
0.010000,1.378677,5.643685,0.012165,0.305954,4.370769,-0.000000,6.279722
0.010000,1.381955,5.643672,0.015443,0.349662,4.370769,0.000000,6.278615
0.010000,1.385670,5.643653,0.019159,0.393369,4.370769,-0.000000,6.277365
0.010000,1.389823,5.643626,0.023311,0.437077,4.370769,0.000000,6.275974
0.010000,1.394412,5.643589,0.027900,0.480785,4.370769,0.000000,6.274445
0.010000,1.399438,5.643541,0.032926,0.524492,4.370769,0.000000,6.272780
0.010000,1.404901,5.643479,0.038390,0.568200,4.370769,-0.000000,6.270982
0.010000,1.410801,5.643402,0.044290,0.611908,4.370769,0.000000,6.269053
0.010000,1.417138,5.643305,0.050628,0.655615,4.370769,0.000000,6.266996
0.010000,1.423912,5.643188,0.057403,0.699323,4.370769,0.000000,6.264816
0.010000,1.431122,5.643048,0.064615,0.743031,4.370769,-0.000000,6.262515
0.010000,1.438769,5.642880,0.072263,0.786738,4.370769,0.000000,6.260098
0.010000,1.446853,5.642683,0.080349,0.830446,4.370769,0.000000,6.257568
0.010000,1.455372,5.642454,0.088872,0.874154,4.370769,-0.000000,6.254930
0.010000,1.464329,5.642188,0.097832,0.917862,4.370769,0.000000,6.252189
0.010000,1.473721,5.641884,0.107230,0.961569,4.370769,0.000000,6.249350
0.010000,1.483549,5.641537,0.117064,1.005277,4.370769,-0.000000,6.246416
0.010000,1.493813,5.641144,0.127335,1.048985,4.370769,0.000000,6.243395
0.010000,1.504512,5.640701,0.138043,1.092692,4.370769,-0.000000,6.240292
0.010000,1.515646,5.640205,0.149189,1.136400,4.370769,0.000000,6.237112
0.010000,1.527216,5.639653,0.160771,1.180108,4.370769,0.000000,6.233862
0.010000,1.539220,5.639040,0.172791,1.223815,4.370769,-0.000000,6.230548
0.010000,1.551658,5.638364,0.185248,1.267523,4.370769,0.000000,6.227177
0.010000,1.564530,5.637620,0.198142,1.311231,4.370769,-0.000000,6.223755
0.010000,1.577836,5.636805,0.211472,1.354938,4.370769,0.000000,6.220291
0.010000,1.591575,5.635916,0.225240,1.398646,4.370769,-0.000000,6.216791
0.010000,1.605747,5.634948,0.239445,1.442354,4.370769,0.000000,6.213263
0.010000,1.620352,5.633899,0.254087,1.486062,4.370769,0.000000,6.209715
0.010000,1.635388,5.632765,0.269167,1.529769,4.370769,0.000000,6.206155
0.010000,1.650856,5.631544,0.284683,1.573477,4.370769,0.000000,6.202592
0.010000,1.666755,5.630231,0.300636,1.617185,4.370769,-0.000000,6.199034
0.010000,1.683085,5.628824,0.317026,1.660892,4.370769,0.000000,6.195490
0.010000,1.699846,5.627321,0.333854,1.704600,4.370769,-0.000000,6.191970
0.010000,1.717036,5.625718,0.351118,1.748308,4.370769,0.000000,6.188482
0.010000,1.734655,5.624013,0.368820,1.792015,4.370769,0.000000,6.185036
0.010000,1.752703,5.622205,0.386959,1.835723,4.370769,-0.000000,6.181642
0.010000,1.771180,5.620291,0.405535,1.879431,4.370769,0.000000,6.178310
0.010000,1.790085,5.618270,0.424547,1.923138,4.370769,-0.000000,6.175050
0.010000,1.809418,5.616140,0.443997,1.966846,4.370769,0.000000,6.171872
0.010000,1.829179,5.613900,0.463884,2.010554,4.370769,-0.000000,6.168787
0.010000,1.849366,5.611549,0.484208,2.054262,4.370769,0.000000,6.165807
0.010000,1.869981,5.609088,0.504970,2.097969,4.370769,-0.000000,6.162941
0.010000,1.891023,5.606516,0.526168,2.141677,4.370769,0.000000,6.160201
0.010000,1.912491,5.603834,0.547803,2.185385,4.370769,0.000000,6.157599
0.010000,1.934386,5.601042,0.569875,2.229092,4.370769,0.000000,6.155147
0.010000,1.956708,5.598142,0.592385,2.272800,4.370769,-0.000000,6.152855
0.010000,1.979457,5.595135,0.615331,2.316508,4.370769,0.000000,6.150736
0.010000,2.002632,5.592024,0.638715,2.360215,4.370769,0.000000,6.148802
0.010000,2.026235,5.588812,0.662536,2.403923,4.370769,-0.000000,6.147067
0.010000,2.050266,5.585501,0.686794,2.447631,4.370769,0.000000,6.145542
0.010000,2.074725,5.582096,0.711488,2.491338,4.370769,-0.000000,6.144240
0.010000,2.099613,5.578602,0.736620,2.535046,4.370769,0.000000,6.143176
0.010000,2.124930,5.575023,0.762189,2.578754,4.370769,-0.000000,6.142361
0.010000,2.150678,5.571365,0.788195,2.622462,4.370769,0.000000,6.141810
0.010000,2.176857,5.567635,0.814639,2.666169,4.370769,-0.000000,6.141538
0.010000,2.203468,5.563839,0.841519,2.709877,4.370769,0.000000,6.141557
0.010000,2.230512,5.559987,0.868836,2.753585,4.370769,-0.000000,6.141884
0.010000,2.257991,5.556087,0.896590,2.797292,4.370769,0.000000,6.142532
0.010000,2.285906,5.552148,0.924782,2.841000,4.370769,-0.000000,6.143517
0.010000,2.314258,5.548180,0.953410,2.884708,4.370769,0.000000,6.144855
0.010000,2.343049,5.544196,0.982476,2.928415,4.370769,0.000000,6.146562
0.010000,2.372281,5.540208,1.011979,2.972123,4.370769,-0.000000,6.148653
0.010000,2.401955,5.536228,1.041919,3.015831,4.370769,0.000000,6.151145
0.010000,2.432073,5.532271,1.072295,3.059538,4.370769,-0.000000,6.154055
0.010000,2.462637,5.528354,1.103109,3.103246,4.370769,0.000000,6.157401
0.010000,2.493648,5.524491,1.134360,3.146954,4.370769,0.000000,6.161200
0.010000,2.525109,5.520701,1.166048,3.190662,4.370769,-0.000000,6.165470
0.010000,2.557021,5.517003,1.198174,3.234369,4.370769,-0.000000,6.170229
0.010000,2.589361,5.513419,1.230711,3.273221,3.885128,-48.564103,6.175491
0.010000,2.622082,5.509976,1.263614,3.307215,3.399487,-48.564103,6.181266
0.010000,2.655138,5.506699,1.296832,3.336354,2.913846,-48.564103,6.187558
0.010000,2.688480,5.503614,1.330316,3.360636,2.428205,-48.564103,6.194371
0.010000,2.722061,5.500746,1.364020,3.380062,1.942564,-48.564103,6.201706
0.010000,2.755833,5.498121,1.397893,3.394631,1.456923,-48.564103,6.209560
