dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.236125,5.662656,0.000024,0.004856,0.485641,48.564103,0.000025
0.010000,0.236125,5.662656,0.000024,0.000006,-0.485050,-97.069069,0.000024
0.010000,0.236125,5.662656,0.000024,0.000013,0.000739,48.578832,0.000022
0.010000,0.236125,5.662656,0.000025,0.000024,0.001033,0.029393,0.000019
0.010000,0.236125,5.662656,0.000025,0.000037,0.001324,0.029158,0.000015
0.010000,0.236126,5.662656,0.000026,0.000053,0.001612,0.028773,0.000008
0.010000,0.236304,5.662656,0.000203,0.017786,1.773333,177.172108,6.283184
0.010000,0.237859,5.662656,0.001758,0.155499,13.771240,1199.790694,6.283172
0.010000,0.239827,5.662656,0.003726,0.196803,4.130383,-964.085685,6.283157
0.010000,0.242232,5.662656,0.006132,0.240536,4.373305,24.292232,6.283138
0.010000,0.245075,5.662656,0.008975,0.284268,4.373255,-0.005020,6.283117
0.010000,0.248355,5.662655,0.012255,0.328000,4.373198,-0.005736,6.283092
0.010000,0.252072,5.662655,0.015972,0.371731,4.373130,-0.006815,6.283064
0.010000,0.256227,5.662654,0.020126,0.415462,4.373049,-0.008040,6.283033
0.010000,0.260819,5.662654,0.024718,0.459192,4.372966,-0.008360,6.283000
0.010000,0.265848,5.662653,0.029748,0.502920,4.372870,-0.009541,6.282964
0.010000,0.271314,5.662651,0.035214,0.546648,4.372765,-0.010524,6.282925
0.010000,0.277218,5.662650,0.041118,0.590374,4.372649,-0.011576,6.282884
0.010000,0.283559,5.662647,0.047459,0.634100,4.372529,-0.012033,6.282840
0.010000,0.290337,5.662645,0.054237,0.677824,4.372397,-0.013221,6.282795
0.010000,0.297553,5.662642,0.061452,0.721546,4.372255,-0.014124,6.282747
0.010000,0.305205,5.662638,0.069105,0.765267,4.372103,-0.015285,6.282698
0.010000,0.313295,5.662634,0.077195,0.808987,4.371949,-0.015400,6.282647
0.010000,0.321822,5.662630,0.085722,0.852704,4.371775,-0.017401,6.282595
0.010000,0.330787,5.662624,0.094686,0.896421,4.371601,-0.017322,6.282542
0.010000,0.340188,5.662618,0.104088,0.940135,4.371414,-0.018789,6.282488
0.010000,0.350026,5.662611,0.113926,0.983847,4.371217,-0.019610,6.282434
0.010000,0.360302,5.662603,0.124202,1.027557,4.371013,-0.020442,6.282379
0.010000,0.371015,5.662594,0.134914,1.071265,4.370800,-0.021287,6.282324
0.010000,0.382164,5.662584,0.146064,1.114971,4.370575,-0.022499,6.282270
0.010000,0.393751,5.662573,0.157651,1.158674,4.370345,-0.022976,6.282216
0.010000,0.405775,5.662561,0.169675,1.202375,4.370102,-0.024359,6.282162
0.010000,0.418235,5.662548,0.182135,1.246074,4.369854,-0.024809,6.282110
0.010000,0.431133,5.662534,0.195033,1.289770,4.369594,-0.025993,6.282060
0.010000,0.444468,5.662518,0.208368,1.333463,4.369325,-0.026840,6.282011
0.010000,0.458239,5.662502,0.222139,1.377153,4.369048,-0.027705,6.281965
0.010000,0.472448,5.662484,0.236348,1.420841,4.368760,-0.028815,6.281921
0.010000,0.487093,5.662465,0.250993,1.464526,4.368466,-0.029384,6.281880
0.010000,0.502175,5.662445,0.266075,1.508207,4.368160,-0.030620,6.281843
0.010000,0.517694,5.662424,0.281594,1.551886,4.367847,-0.031274,6.281809
0.010000,0.533649,5.662402,0.297549,1.595561,4.367524,-0.032346,6.281779
0.010000,0.550042,5.662379,0.313942,1.639233,4.367192,-0.033213,6.281754
0.010000,0.566871,5.662354,0.330771,1.682901,4.366851,-0.034102,6.281734
0.010000,0.584136,5.662329,0.348036,1.726566,4.366501,-0.035014,6.281720
0.010000,0.601839,5.662303,0.365739,1.770228,4.366141,-0.035988,6.281711
0.010000,0.619977,5.662276,0.383877,1.813886,4.365773,-0.036797,6.281709
0.010000,0.638553,5.662249,0.402453,1.857539,4.365395,-0.037778,6.281714
0.010000,0.657565,5.662221,0.421465,1.901190,4.365008,-0.038658,6.281726
0.010000,0.677013,5.662193,0.440913,1.944836,4.364613,-0.039592,6.281746
0.010000,0.696898,5.662165,0.460798,1.988478,4.364207,-0.040508,6.281775
0.010000,0.717219,5.662136,0.481119,2.032116,4.363794,-0.041320,6.281812
0.010000,0.737976,5.662108,0.501877,2.075749,4.363370,-0.042400,6.281859
0.010000,0.759170,5.662081,0.523070,2.119379,4.362938,-0.043203,6.281917
0.010000,0.780800,5.662054,0.544700,2.163004,4.362496,-0.044217,6.281984
0.010000,0.802866,5.662028,0.566767,2.206624,4.362048,-0.044836,6.282063
0.010000,0.825369,5.662004,0.589269,2.250240,4.361586,-0.046145,6.282154
0.010000,0.848307,5.661982,0.612208,2.293851,4.361117,-0.046891,6.282257
0.010000,0.871682,5.661961,0.635582,2.337458,4.360641,-0.047605,6.282374
0.010000,0.895492,5.661944,0.659393,2.381059,4.360153,-0.048854,6.282503
0.010000,0.919739,5.661929,0.683639,2.424656,4.359655,-0.049744,6.282648
0.010000,0.944422,5.661917,0.708322,2.468247,4.359153,-0.050267,6.282807
0.010000,0.969540,5.661910,0.733440,2.511834,4.358637,-0.051554,6.282981
0.010000,0.995094,5.661907,0.758994,2.555415,4.358113,-0.052454,6.283172
0.010000,1.021084,5.661910,0.784984,2.598991,4.357580,-0.053247,0.000195
0.010000,1.047510,5.661918,0.811410,2.642561,4.357037,-0.054266,0.000420
0.010000,1.074371,5.661932,0.838271,2.686126,4.356487,-0.055000,0.000664
0.010000,1.101668,5.661954,0.865568,2.729685,4.355928,-0.055929,0.000927
0.010000,1.129400,5.661983,0.893300,2.773239,4.355355,-0.057298,0.001210
0.010000,1.157568,5.662022,0.921468,2.816786,4.354777,-0.057841,0.001514
0.010000,1.186171,5.662070,0.950071,2.860328,4.354193,-0.058333,0.001838
