dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.236126,5.584878,0.000024,0.004856,0.485641,48.564103,0.000025
0.010000,0.236126,5.584878,0.000121,0.014569,0.971282,48.564103,0.000024
0.010000,0.236126,5.584878,0.000340,0.029138,1.456923,48.564103,0.000022
0.010000,0.236126,5.584878,0.000728,0.048564,1.942564,48.564103,0.000019
0.010000,0.236126,5.584878,0.001336,0.072846,2.428205,48.564103,0.000015
0.010000,0.236126,5.584878,0.002210,0.101985,2.913846,48.564103,0.000008
0.010000,0.236304,5.584878,0.003399,0.135979,3.399487,48.564103,6.283184
0.010000,0.237858,5.584878,0.004954,0.174831,3.885128,48.564103,6.283172
0.010000,0.239824,5.584878,0.006920,0.218538,4.370769,48.564103,6.283157
0.010000,0.242228,5.584878,0.009324,0.262246,4.370769,0.000000,6.283138
0.010000,0.245069,5.584878,0.012165,0.305954,4.370769,-0.000000,6.283117
0.010000,0.248347,5.584877,0.015443,0.349662,4.370769,0.000000,6.283092
0.010000,0.252063,5.584877,0.019159,0.393369,4.370769,-0.000000,6.283064
0.010000,0.256215,5.584876,0.023311,0.437077,4.370769,0.000000,6.283033
0.010000,0.260804,5.584876,0.027900,0.480785,4.370769,0.000000,6.283000
0.010000,0.265831,5.584875,0.032926,0.524492,4.370769,0.000000,6.282964
0.010000,0.271294,5.584873,0.038390,0.568200,4.370769,-0.000000,6.282925
0.010000,0.277195,5.584872,0.044290,0.611908,4.370769,0.000000,6.282884
0.010000,0.283532,5.584870,0.050628,0.655615,4.370769,0.000000,6.282840
0.010000,0.290307,5.584867,0.057403,0.699323,4.370769,0.000000,6.282795
0.010000,0.297519,5.584864,0.064615,0.743031,4.370769,-0.000000,6.282747
0.010000,0.305167,5.584861,0.072263,0.786738,4.370769,0.000000,6.282698
0.010000,0.313253,5.584856,0.080349,0.830446,4.370769,0.000000,6.282647
0.010000,0.321776,5.584852,0.088872,0.874154,4.370769,-0.000000,6.282595
0.010000,0.330736,5.584846,0.097832,0.917862,4.370769,0.000000,6.282542
0.010000,0.340134,5.584840,0.107230,0.961569,4.370769,0.000000,6.282488
0.010000,0.349968,5.584833,0.117064,1.005277,4.370769,-0.000000,6.282434
0.010000,0.360239,5.584825,0.127335,1.048985,4.370769,0.000000,6.282379
0.010000,0.370948,5.584816,0.138043,1.092692,4.370769,-0.000000,6.282324
0.010000,0.382093,5.584806,0.149189,1.136400,4.370769,0.000000,6.282270
0.010000,0.393676,5.584795,0.160771,1.180108,4.370769,0.000000,6.282216
0.010000,0.405695,5.584783,0.172791,1.223815,4.370769,-0.000000,6.282162
0.010000,0.418152,5.584770,0.185248,1.267523,4.370769,0.000000,6.282110
0.010000,0.431046,5.584756,0.198142,1.311231,4.370769,-0.000000,6.282060
0.010000,0.444376,5.584740,0.211472,1.354938,4.370769,0.000000,6.282011
0.010000,0.458144,5.584724,0.225240,1.398646,4.370769,-0.000000,6.281965
0.010000,0.472349,5.584706,0.239445,1.442354,4.370769,0.000000,6.281921
0.010000,0.486991,5.584687,0.254087,1.486062,4.370769,0.000000,6.281880
0.010000,0.502071,5.584667,0.269167,1.529769,4.370769,0.000000,6.281843
0.010000,0.517587,5.584646,0.284683,1.573477,4.370769,0.000000,6.281809
0.010000,0.533540,5.584624,0.300636,1.617185,4.370769,-0.000000,6.281779
0.010000,0.549930,5.584601,0.317026,1.660892,4.370769,0.000000,6.281754
0.010000,0.566758,5.584577,0.333854,1.704600,4.370769,-0.000000,6.281734
0.010000,0.584022,5.584551,0.351118,1.748308,4.370769,0.000000,6.281720
0.010000,0.601724,5.584525,0.368820,1.792015,4.370769,0.000000,6.281711
0.010000,0.619863,5.584499,0.386959,1.835723,4.370769,-0.000000,6.281709
0.010000,0.638438,5.584471,0.405535,1.879431,4.370769,0.000000,6.281714
0.010000,0.657451,5.584443,0.424547,1.923138,4.370769,-0.000000,6.281726
0.010000,0.676901,5.584415,0.443997,1.966846,4.370769,0.000000,6.281746
0.010000,0.696788,5.584387,0.463884,2.010554,4.370769,-0.000000,6.281775
0.010000,0.717112,5.584359,0.484208,2.054262,4.370769,0.000000,6.281812
0.010000,0.737873,5.584331,0.504970,2.097969,4.370769,-0.000000,6.281859
0.010000,0.759072,5.584303,0.526168,2.141677,4.370769,0.000000,6.281917
0.010000,0.780707,5.584276,0.547803,2.185385,4.370769,0.000000,6.281984
0.010000,0.802779,5.584251,0.569875,2.229092,4.370769,0.000000,6.282063
0.010000,0.825289,5.584226,0.592385,2.272800,4.370769,-0.000000,6.282154
0.010000,0.848235,5.584204,0.615331,2.316508,4.370769,0.000000,6.282257
0.010000,0.871619,5.584184,0.638715,2.360215,4.370769,0.000000,6.282374
0.010000,0.895439,5.584166,0.662536,2.403923,4.370769,-0.000000,6.282503
0.010000,0.919697,5.584151,0.686794,2.447631,4.370769,0.000000,6.282648
0.010000,0.944392,5.584140,0.711488,2.491338,4.370769,-0.000000,6.282807
0.010000,0.969524,5.584132,0.736620,2.535046,4.370769,0.000000,6.282981
0.010000,0.995093,5.584129,0.762189,2.578754,4.370769,-0.000000,6.283172
0.010000,1.021099,5.584132,0.788195,2.622462,4.370769,0.000000,0.000195
0.010000,1.047542,5.584140,0.814639,2.666169,4.370769,-0.000000,0.000420
0.010000,1.074422,5.584154,0.841519,2.709877,4.370769,0.000000,0.000664
0.010000,1.101740,5.584176,0.868836,2.753585,4.370769,-0.000000,0.000927
0.010000,1.129494,5.584206,0.896590,2.797292,4.370769,0.000000,0.001210
0.010000,1.157686,5.584244,0.924782,2.841000,4.370769,-0.000000,0.001514
0.010000,1.186314,5.584292,0.953410,2.884708,4.370769,0.000000,0.001838
0.010000,1.215380,5.584350,0.982476,2.928415,4.370769,0.000000,0.002185
0.010000,1.244882,5.584420,1.011979,2.972123,4.370769,-0.000000,0.002555
0.010000,1.274822,5.584503,1.041919,3.015831,4.370769,0.000000,0.002948
0.010000,1.305199,5.584598,1.072295,3.059538,4.370769,-0.000000,0.003366
0.010000,1.336012,5.584709,1.103109,3.103246,4.370769,0.000000,0.003809
0.010000,1.367263,5.584835,1.134360,3.146954,4.370769,0.000000,0.004278
0.010000,1.398951,5.584979,1.166048,3.190662,4.370769,-0.000000,0.004774
0.010000,1.431076,5.585140,1.198174,3.234369,4.370769,-0.000000,0.005298
0.010000,1.463613,5.585322,1.230711,3.273221,3.885128,-48.564103,0.005850
0.010000,1.496515,5.585524,1.263614,3.307215,3.399487,-48.564103,0.006430
0.010000,1.529732,5.585747,1.296832,3.336354,2.913846,-48.564103,0.007039
0.010000,1.563216,5.585994,1.330316,3.360636,2.428205,-48.564103,0.007675
0.010000,1.596918,5.586263,1.364020,3.380062,1.942564,-48.564103,0.008338
0.010000,1.630790,5.586557,1.397893,3.394631,1.456923,-48.564103,0.009028
0.010000,1.664784,5.586876,1.431888,3.404344,0.971282,-48.564103,0.009744
0.010000,1.698850,5.587221,1.465956,3.409200,0.485641,-48.564103,0.010485
0.010000,1.732940,5.587591,1.500048,3.409200,0.000000,-48.564103,0.011251
0.010000,1.767029,5.587988,1.534140,3.409200,0.000000,0.000000,0.012040
0.010000,1.801119,5.588413,1.568232,3.409200,0.000000,0.000000,0.012854
0.010000,1.835208,5.588865,1.602324,3.409200,0.000000,0.000000,0.013691
0.010000,1.869296,5.589346,1.636416,3.409200,0.000000,0.000000,0.014551
0.010000,1.903384,5.589857,1.670508,3.409200,0.000000,0.000000,0.015436
0.010000,1.937472,5.590399,1.704600,3.409200,0.000000,0.000000,0.016344
0.010000,1.971559,5.590972,1.738692,3.409200,0.000000,0.000000,0.017276
0.010000,2.005646,5.591577,1.772784,3.409200,0.000000,0.000000,0.018232
0.010000,2.039732,5.592215,1.806876,3.409200,0.000000,0.000000,0.019211
0.010000,2.073817,5.592887,1.840968,3.409200,0.000000,0.000000,0.020215
0.010000,2.107902,5.593594,1.875060,3.409200,0.000000,0.000000,0.021242
0.010000,2.141986,5.594336,1.909152,3.409200,0.000000,0.000000,0.022292
0.010000,2.176069,5.595114,1.943244,3.409200,0.000000,0.000000,0.023367
0.010000,2.210151,5.595929,1.977336,3.409200,0.000000,0.000000,0.024465
0.010000,2.244233,5.596782,2.011428,3.409200,0.000000,0.000000,0.025587
0.010000,2.278313,5.597674,2.045520,3.409200,0.000000,0.000000,0.026733
0.010000,2.312392,5.598605,2.079612,3.409200,0.000000,0.000000,0.027903
0.010000,2.346470,5.599576,2.113704,3.409200,0.000000,0.000000,0.029096
0.010000,2.380547,5.600589,2.147796,3.409200,0.000000,0.000000,0.030313
0.010000,2.414623,5.601643,2.181888,3.409200,0.000000,0.000000,0.031554
0.010000,2.448697,5.602740,2.215980,3.409200,0.000000,0.000000,0.032818
0.010000,2.482770,5.603881,2.250072,3.409200,0.000000,0.000000,0.034106
0.010000,2.516842,5.605065,2.284164,3.409200,0.000000,0.000000,0.035418
0.010000,2.550911,5.606295,2.318256,3.409200,0.000000,0.000000,0.036753
0.010000,2.584980,5.607571,2.352348,3.409200,0.000000,0.000000,0.038112
0.010000,2.619046,5.608894,2.386440,3.409200,0.000000,0.000000,0.039495
0.010000,2.653110,5.610264,2.420532,3.409200,0.000000,0.000000,0.040902
0.010000,2.687173,5.611682,2.454624,3.409200,0.000000,0.000000,0.042332
