dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.236128,5.507100,0.000200,0.019967,0.998370,49.918482,0.000024
0.020000,0.236128,5.507100,0.000200,0.000024,-0.997156,-99.776262,0.000017
0.020000,0.236127,5.507100,0.000201,0.000048,0.001206,49.918102,0.000005
0.020000,0.237895,5.507100,0.001969,0.088403,4.417730,220.826160,6.283172
0.020000,0.241088,5.507100,0.005162,0.159644,3.562027,-42.785143,6.283147
0.020000,0.245079,5.507100,0.009153,0.199556,1.995601,-78.321270,6.283117
0.020000,0.249868,5.507099,0.013943,0.239468,1.995639,0.001879,6.283080
0.020000,0.255456,5.507099,0.019530,0.279382,1.995685,0.002315,6.283039
0.020000,0.261842,5.507098,0.025916,0.319297,1.995738,0.002612,6.282992
0.020000,0.269026,5.507096,0.033100,0.359213,1.995798,0.003047,6.282941
0.020000,0.277009,5.507094,0.041083,0.399130,1.995867,0.003446,6.282885
0.020000,0.285790,5.507091,0.049864,0.439049,1.995943,0.003788,6.282825
0.020000,0.295369,5.507087,0.059443,0.478970,1.996027,0.004181,6.282761
0.020000,0.305747,5.507082,0.069821,0.518892,1.996118,0.004554,6.282694
0.020000,0.316923,5.507077,0.080998,0.558816,1.996217,0.004952,6.282624
0.020000,0.328898,5.507069,0.092972,0.598743,1.996322,0.005281,6.282553
0.020000,0.341671,5.507061,0.105746,0.638671,1.996437,0.005725,6.282479
0.020000,0.355244,5.507051,0.119318,0.678603,1.996559,0.006086,6.282405
0.020000,0.369614,5.507039,0.133689,0.718536,1.996687,0.006410,6.282331
0.020000,0.384784,5.507026,0.148858,0.758473,1.996825,0.006895,6.282256
0.020000,0.400752,5.507010,0.164826,0.798412,1.996968,0.007181,6.282184
0.020000,0.417519,5.506993,0.181593,0.838355,1.997120,0.007593,6.282113
0.020000,0.435085,5.506973,0.199159,0.878300,1.997280,0.007995,6.282044
0.020000,0.453450,5.506952,0.217524,0.918249,1.997447,0.008338,6.281980
0.020000,0.472614,5.506928,0.236688,0.958202,1.997622,0.008745,6.281920
0.020000,0.492577,5.506902,0.256652,0.998158,1.997804,0.009109,6.281865
0.020000,0.513339,5.506874,0.277414,1.038118,1.997994,0.009499,6.281817
0.020000,0.534901,5.506844,0.298976,1.078081,1.998191,0.009857,6.281777
0.020000,0.557262,5.506812,0.321336,1.118049,1.998397,0.010268,6.281745
0.020000,0.580422,5.506779,0.344497,1.158021,1.998609,0.010631,6.281722
